# Auto-collated output:
# Column 1: release_cooperativity
# Column 2: release_rate
# Column 3: naive statistical error
# Column 4: halftime
# Column 5: halftime_error
1.0 0.00203998 0.000288496738297 388.026 0.564653
2.0 0.00164705 0.000232928044791 387.936 0.660074
5.0 0.00118541 0.000167642289897 387.959 0.736557
10.0 0.00090143 0.000127481453153 388.035 0.466826
20.0 0.000668743 9.45745420342e-05 388.053 0.493368
50.0 0.000444713 6.28919155964e-05 387.979 0.734786
100.0 0.000323466 4.57450004167e-05 387.927 0.700744
200.0 0.000231805 3.27821774826e-05 387.968 0.804731
500.0 0.000148792 2.10423664373e-05 387.975 1.23762
1000.0 0.00010552 1.49227815102e-05 387.992 1.31833
2000.0 7.53356e-05 1.0654062725e-05 387.99 1.37123
5000.0 4.70364e-05 6.65195148052e-06 388.074 2.07495
10000.0 3.32383e-05 4.70060546502e-06 387.976 2.35416
20000.0 2.35147e-05 3.32548076551e-06 388.007 3.07819
50000.0 1.47408e-05 2.08466392802e-06 387.985 3.68597
100000.0 1.02645e-05 1.4516195111e-06 388.052 3.55262
200000.0 7.13456e-06 1.00897915136e-06 387.933 4.42249
500000.0 4.42299e-06 6.25505244424e-07 387.975 4.82969
1000000.0 3.1039e-06 4.38957747625e-07 387.926 7.62216
